"","Fecha","Confirmado_diario"
"1",2020-03-07,1
"2",2020-03-08,0
"3",2020-03-09,0
"4",2020-03-10,4
"5",2020-03-11,0
"6",2020-03-12,1
"7",2020-03-13,1
"8",2020-03-14,0
"9",2020-03-15,1
"10",2020-03-16,1
"11",2020-03-17,2
"12",2020-03-18,0
"13",2020-03-19,2
"14",2020-03-20,5
"15",2020-03-21,4
"16",2020-03-22,0
"17",2020-03-23,5
"18",2020-03-24,10
"19",2020-03-25,4
"20",2020-03-26,11
"21",2020-03-27,4
"22",2020-03-28,3
"23",2020-03-29,5
"24",2020-03-30,1
"25",2020-03-31,4
"26",2020-04-01,8
"27",2020-04-02,15
"28",2020-04-03,4
"29",2020-04-04,8
"30",2020-04-05,9
"31",2020-04-06,2
"32",2020-04-07,4
"33",2020-04-08,5
"34",2020-04-09,5
"35",2020-04-10,4
"36",2020-04-11,1
"37",2020-04-12,13
"38",2020-04-13,12
"39",2020-04-14,2
"40",2020-04-15,13
"41",2020-04-16,25
"42",2020-04-17,3
"43",2020-04-18,4
"44",2020-04-19,2
"45",2020-04-20,0
"46",2020-04-21,5
"47",2020-04-22,0
"48",2020-04-23,7
"49",2020-04-24,3
"50",2020-04-25,5
"51",2020-04-26,0
"52",2020-04-27,2
"53",2020-04-28,9
"54",2020-04-29,10
"55",2020-04-30,17
"56",2020-05-01,67
"57",2020-05-02,37
"58",2020-05-03,26
"59",2020-05-04,19
"60",2020-05-05,16
"61",2020-05-06,9
"62",2020-05-07,22
"63",2020-05-08,101
"64",2020-05-09,126
"65",2020-05-10,24
"66",2020-05-11,11
"67",2020-05-12,13
"68",2020-05-13,3
"69",2020-05-14,14
"70",2020-05-15,5
"71",2020-05-16,19
"72",2020-05-17,8
"73",2020-05-18,2
"74",2020-05-19,41
"75",2020-05-20,4
"76",2020-05-21,3
"77",2020-05-22,2
"78",2020-05-23,12
"79",2020-05-24,12
"80",2020-05-25,3
"81",2020-05-26,12
"82",2020-05-27,7
"83",2020-05-28,16
"84",2020-05-29,17
"85",2020-05-30,47
"86",2020-05-31,22
"87",2020-06-01,9
"88",2020-06-02,18
"89",2020-06-03,57
"90",2020-06-04,16
"91",2020-06-05,1
"92",2020-06-06,3
"93",2020-06-07,45
"94",2020-06-08,10
"95",2020-06-09,42
"96",2020-06-10,15
"97",2020-06-11,28
"98",2020-06-12,24
"99",2020-06-13,7
"100",2020-06-14,28
"101",2020-06-15,7
"102",2020-06-16,7
"103",2020-06-17,5
"104",2020-06-18,22
"105",2020-06-19,6
"106",2020-06-20,26
"107",2020-06-21,17
"108",2020-06-22,13
"109",2020-06-23,30
"110",2020-06-24,106
"111",2020-06-25,41
"112",2020-06-26,142
"113",2020-06-27,231
"114",2020-06-28,185
"115",2020-06-29,64
"116",2020-06-30,30
"117",2020-07-01,39
"118",2020-07-02,43
"119",2020-07-03,46
"120",2020-07-04,36
"121",2020-07-05,42
"122",2020-07-06,29
"123",2020-07-07,46
"124",2020-07-08,52
"125",2020-07-09,84
"126",2020-07-10,98
"127",2020-07-11,84
"128",2020-07-12,128
"129",2020-07-13,32
"130",2020-07-14,94
"131",2020-07-15,124
"132",2020-07-16,144
"133",2020-07-17,115
"134",2020-07-18,172
"135",2020-07-19,92
"136",2020-07-20,27
"137",2020-07-21,69
"138",2020-07-22,183
"139",2020-07-23,113
"140",2020-07-24,111
"141",2020-07-25,104
"142",2020-07-26,116
"143",2020-07-27,104
"144",2020-07-28,126
"145",2020-07-29,192
"146",2020-07-30,341
"147",2020-07-31,131
"148",2020-08-01,147
"149",2020-08-02,159
"150",2020-08-03,80
"151",2020-08-04,128
"152",2020-08-05,208
"153",2020-08-06,315
"154",2020-08-07,133
"155",2020-08-08,197
"156",2020-08-09,202
"157",2020-08-10,327
"158",2020-08-11,285
"159",2020-08-12,499
"160",2020-08-13,371
"161",2020-08-14,633
"162",2020-08-15,359
"163",2020-08-16,410
"164",2020-08-17,344
"165",2020-08-18,471
"166",2020-08-19,527
"167",2020-08-20,684
"168",2020-08-21,719
"169",2020-08-22,438
"170",2020-08-23,259
"171",2020-08-24,369
"172",2020-08-25,626
"173",2020-08-26,644
"174",2020-08-27,418
"175",2020-08-28,583
"176",2020-08-29,601
"177",2020-08-30,631
"178",2020-08-31,557
"179",2020-09-01,676
"180",2020-09-02,800
"181",2020-09-03,821
"182",2020-09-04,695
"183",2020-09-05,1217
"184",2020-09-06,615
"185",2020-09-07,867
"186",2020-09-08,861
"187",2020-09-09,812
"188",2020-09-10,605
"189",2020-09-11,881
"190",2020-09-12,813
"191",2020-09-13,493
"192",2020-09-14,669
"193",2020-09-15,811
"194",2020-09-16,1121
"195",2020-09-17,694
"196",2020-09-18,1014
"197",2020-09-19,888
"198",2020-09-20,505
"199",2020-09-21,740
"200",2020-09-22,568
"201",2020-09-23,743
"202",2020-09-24,833
"203",2020-09-25,822
"204",2020-09-26,696
"205",2020-09-27,762
"206",2020-09-28,748
"207",2020-09-29,669
"208",2020-09-30,657
"209",2020-10-01,1041
"210",2020-10-02,885
"211",2020-10-03,768
"212",2020-10-04,730
"213",2020-10-05,533
"214",2020-10-06,932
"215",2020-10-07,788
"216",2020-10-08,881
"217",2020-10-09,959
"218",2020-10-10,703
"219",2020-10-11,697
"220",2020-10-12,669
"221",2020-10-13,853
"222",2020-10-14,648
"223",2020-10-15,751
"224",2020-10-16,886
"225",2020-10-17,533
"226",2020-10-18,709
"227",2020-10-19,728
"228",2020-10-20,621
"229",2020-10-21,746
"230",2020-10-22,707
"231",2020-10-23,733
"232",2020-10-24,784
"233",2020-10-25,551
"234",2020-10-26,515
"235",2020-10-27,448
"236",2020-10-28,733
"237",2020-10-29,760
"238",2020-10-30,546
"239",2020-10-31,589
"240",2020-11-01,546
"241",2020-11-02,425
"242",2020-11-03,472
"243",2020-11-04,630
"244",2020-11-05,520
"245",2020-11-06,703
"246",2020-11-07,460
"247",2020-11-08,648
"248",2020-11-09,359
"249",2020-11-10,549
"250",2020-11-11,609
"251",2020-11-12,547
"252",2020-11-13,739
"253",2020-11-14,673
"254",2020-11-15,509
"255",2020-11-16,525
"256",2020-11-17,758
"257",2020-11-18,782
"258",2020-11-19,856
"259",2020-11-20,563
"260",2020-11-21,799
"261",2020-11-22,619
"262",2020-11-23,596
"263",2020-11-24,819
"264",2020-11-25,987
"265",2020-11-26,639
"266",2020-11-27,919
"267",2020-11-28,695
"268",2020-11-29,775
"269",2020-11-30,518
"270",2020-12-01,1055
"271",2020-12-02,1003
"272",2020-12-03,995
"273",2020-12-04,1022
"274",2020-12-05,714
"275",2020-12-06,707
"276",2020-12-07,803
"277",2020-12-08,698
"278",2020-12-09,725
"279",2020-12-10,812
"280",2020-12-11,1155
"281",2020-12-12,800
"282",2020-12-13,669
"283",2020-12-14,641
"284",2020-12-15,1130
"285",2020-12-16,856
"286",2020-12-17,819
"287",2020-12-18,1268
"288",2020-12-19,861
"289",2020-12-20,632
"290",2020-12-21,823
"291",2020-12-22,932
"292",2020-12-23,827
"293",2020-12-24,958
"294",2020-12-25,559
"295",2020-12-26,274
"296",2020-12-27,260
"297",2020-12-28,952
"298",2020-12-29,762
"299",2020-12-30,822
"300",2020-12-31,974
"301",2021-01-01,417
"302",2021-01-02,369
"303",2021-01-03,356
"304",2021-01-04,764
"305",2021-01-05,959
"306",2021-01-06,905
"307",2021-01-07,1165
"308",2021-01-08,1141
"309",2021-01-09,1032
"310",2021-01-10,708
"311",2021-01-11,804
"312",2021-01-12,1058
"313",2021-01-13,1005
"314",2021-01-14,1049
"315",2021-01-15,1152
"316",2021-01-16,860
"317",2021-01-17,513
"318",2021-01-18,428
"319",2021-01-19,774
"320",2021-01-20,1090
"321",2021-01-21,1074
"322",2021-01-22,852
"323",2021-01-23,714
"324",2021-01-24,574
"325",2021-01-25,716
"326",2021-01-26,1031
"327",2021-01-27,769
"328",2021-01-28,755
"329",2021-01-29,970
"330",2021-01-30,664
"331",2021-01-31,679
"332",2021-02-01,554
"333",2021-02-02,701
"334",2021-02-03,748
"335",2021-02-04,794
"336",2021-02-05,879
"337",2021-02-06,713
"338",2021-02-07,515
"339",2021-02-08,827
"340",2021-02-09,874
"341",2021-02-10,980
"342",2021-02-11,979
"343",2021-02-12,825
"344",2021-02-13,845
"345",2021-02-14,599
"346",2021-02-15,1055
"347",2021-02-16,1122
"348",2021-02-17,1041
"349",2021-02-18,1377
"350",2021-02-19,1072
"351",2021-02-20,1048
"352",2021-02-21,987
"353",2021-02-22,941
"354",2021-02-23,1133
"355",2021-02-24,1114
"356",2021-02-25,1291
"357",2021-02-26,1416
"358",2021-02-27,934
"359",2021-02-28,937
"360",2021-03-01,976
"361",2021-03-02,1086
"362",2021-03-03,1344
"363",2021-03-04,1444
"364",2021-03-05,1510
"365",2021-03-06,1159
"366",2021-03-07,1075
"367",2021-03-08,1823
"368",2021-03-09,2127
"369",2021-03-10,2032
"370",2021-03-11,1825
"371",2021-03-12,1771
"372",2021-03-13,1485
"373",2021-03-14,945
"374",2021-03-15,1411
"375",2021-03-16,1948
"376",2021-03-17,2551
"377",2021-03-18,2612
"378",2021-03-19,2016
"379",2021-03-20,2104
"380",2021-03-21,1528
"381",2021-03-22,2011
"382",2021-03-23,2053
"383",2021-03-24,2692
"384",2021-03-25,1885
"385",2021-03-26,2007
"386",2021-03-27,1905
"387",2021-03-28,2062
"388",2021-03-29,1799
"389",2021-03-30,2290
"390",2021-03-31,1980
"391",2021-04-01,1625
"392",2021-04-02,1618
"393",2021-04-03,1518
"394",2021-04-04,1826
"395",2021-04-05,1491
"396",2021-04-06,2102
"397",2021-04-07,2396
"398",2021-04-08,2501
"399",2021-04-09,2548
"400",2021-04-10,1604
"401",2021-04-11,1551
"402",2021-04-12,2259
"403",2021-04-13,2607
"404",2021-04-14,2027
"405",2021-04-15,2373
"406",2021-04-16,2290
"407",2021-04-17,1560
"408",2021-04-18,1801
"409",2021-04-19,2280
"410",2021-04-20,2612
"411",2021-04-21,2671
"412",2021-04-22,2686
"413",2021-04-23,2761
"414",2021-04-24,2199
"415",2021-04-25,1796
"416",2021-04-26,2278
"417",2021-04-27,2481
"418",2021-04-28,2367
"419",2021-04-29,2710
"420",2021-04-30,2249
"421",2021-05-01,1951
"422",2021-05-02,1521
"423",2021-05-03,1937
"424",2021-05-04,2222
"425",2021-05-05,2318
"426",2021-05-06,2575
"427",2021-05-07,2704
"428",2021-05-08,2079
"429",2021-05-09,1492
"430",2021-05-10,1916
"431",2021-05-11,2400
"432",2021-05-12,2844
"433",2021-05-13,2581
"434",2021-05-14,2187
"435",2021-05-15,2111
"436",2021-05-16,1782
"437",2021-05-17,2047
"438",2021-05-18,2722
"439",2021-05-19,2795
"440",2021-05-20,3068
"441",2021-05-21,3176
"442",2021-05-22,3253
"443",2021-05-23,2516
"444",2021-05-24,2723
"445",2021-05-25,3233
"446",2021-05-26,3313
"447",2021-05-27,3140
"448",2021-05-28,2879
"449",2021-05-29,2432
"450",2021-05-30,2078
"451",2021-05-31,2703
"452",2021-06-01,2861
"453",2021-06-02,3205
"454",2021-06-03,3289
"455",2021-06-04,3487
"456",2021-06-05,2840
"457",2021-06-06,2160
"458",2021-06-07,2848
"459",2021-06-08,3137
"460",2021-06-09,3101
"461",2021-06-10,2775
"462",2021-06-11,2702
"463",2021-06-12,1963
"464",2021-06-13,1786
"465",2021-06-14,2057
"466",2021-06-15,2672
"467",2021-06-16,2619
"468",2021-06-17,2498
"469",2021-06-18,2155
"470",2021-06-19,1690
"471",2021-06-20,1146
"472",2021-06-21,1506
"473",2021-06-22,1759
"474",2021-06-23,2155
"475",2021-06-24,1872
"476",2021-06-25,1890
"477",2021-06-26,1527
"478",2021-06-27,1488
"479",2021-06-28,1453
"480",2021-06-29,1832
"481",2021-06-30,1696
"482",2021-07-01,1717
"483",2021-07-02,1321
"484",2021-07-03,1227
"485",2021-07-04,1201
"486",2021-07-05,1144
"487",2021-07-06,1487
"488",2021-07-07,1437
"489",2021-07-08,1463
"490",2021-07-09,1259
"491",2021-07-10,1103
"492",2021-07-11,1095
"493",2021-07-12,1045
"494",2021-07-13,1134
"495",2021-07-14,1160
"496",2021-07-15,1153
"497",2021-07-16,1171
"498",2021-07-17,1049
"499",2021-07-18,565
"500",2021-07-19,573
"501",2021-07-20,708
"502",2021-07-21,880
"503",2021-07-22,727
"504",2021-07-23,647
"505",2021-07-24,410
"506",2021-07-25,425
"507",2021-07-26,563
"508",2021-07-27,594
"509",2021-07-28,664
"510",2021-07-29,539
"511",2021-07-30,390
"512",2021-07-31,309
"513",2021-08-01,311
"514",2021-08-02,333
"515",2021-08-03,337
"516",2021-08-04,427
"517",2021-08-05,401
"518",2021-08-06,348
"519",2021-08-07,324
"520",2021-08-08,255
"521",2021-08-09,269
"522",2021-08-10,291
"523",2021-08-11,384
"524",2021-08-12,227
"525",2021-08-13,193
"526",2021-08-14,105
"527",2021-08-15,106
"528",2021-08-16,147
"529",2021-08-17,181
"530",2021-08-18,199
"531",2021-08-19,127
"532",2021-08-20,123
"533",2021-08-21,140
"534",2021-08-22,113
"535",2021-08-23,113
"536",2021-08-24,133
"537",2021-08-25,145
"538",2021-08-26,91
"539",2021-08-27,92
"540",2021-08-28,62
"541",2021-08-29,43
"542",2021-08-30,51
"543",2021-08-31,73
"544",2021-09-01,86
"545",2021-09-02,102
"546",2021-09-03,83
"547",2021-09-04,45
"548",2021-09-05,40
"549",2021-09-06,39
"550",2021-09-07,55
"551",2021-09-08,85
"552",2021-09-09,71
"553",2021-09-10,74
"554",2021-09-11,50
"555",2021-09-12,34
"556",2021-09-13,49
"557",2021-09-14,51
"558",2021-09-15,70
"559",2021-09-16,63
"560",2021-09-17,56
"561",2021-09-18,42
"562",2021-09-19,28
"563",2021-09-20,15
"564",2021-09-21,30
"565",2021-09-22,25
"566",2021-09-23,31
"567",2021-09-24,29
"568",2021-09-25,26
"569",2021-09-26,24
"570",2021-09-27,27
"571",2021-09-28,44
"572",2021-09-29,49
"573",2021-09-30,19
"574",2021-10-01,30
"575",2021-10-02,25
"576",2021-10-03,19
"577",2021-10-04,20
"578",2021-10-05,23
"579",2021-10-06,29
"580",2021-10-07,25
"581",2021-10-08,33
"582",2021-10-09,19
"583",2021-10-10,13
"584",2021-10-11,15
"585",2021-10-12,26
"586",2021-10-13,33
"587",2021-10-14,24
"588",2021-10-15,21
"589",2021-10-16,19
"590",2021-10-17,16
"591",2021-10-18,24
"592",2021-10-19,29
"593",2021-10-20,33
"594",2021-10-21,31
"595",2021-10-22,33
"596",2021-10-23,22
"597",2021-10-24,22
"598",2021-10-25,31
"599",2021-10-26,61
"600",2021-10-27,79
"601",2021-10-28,50
"602",2021-10-29,30
"603",2021-10-30,33
"604",2021-10-31,35
"605",2021-11-01,46
"606",2021-11-02,46
"607",2021-11-03,52
"608",2021-11-04,41
"609",2021-11-05,50
"610",2021-11-06,38
"611",2021-11-07,48
"612",2021-11-08,52
"613",2021-11-09,53
"614",2021-11-10,54
"615",2021-11-11,54
"616",2021-11-12,50
"617",2021-11-13,47
"618",2021-11-14,45
"619",2021-11-15,46
"620",2021-11-16,56
"621",2021-11-17,50
"622",2021-11-18,37
"623",2021-11-19,52
"624",2021-11-20,44
"625",2021-11-21,41
"626",2021-11-22,48
"627",2021-11-23,58
"628",2021-11-24,64
"629",2021-11-25,80
"630",2021-11-26,72
"631",2021-11-27,53
"632",2021-11-28,48
"633",2021-11-29,45
"634",2021-11-30,57
"635",2021-12-01,63
"636",2021-12-02,78
"637",2021-12-03,61
"638",2021-12-04,55
"639",2021-12-05,57
"640",2021-12-06,55
"641",2021-12-07,52
"642",2021-12-08,43
"643",2021-12-09,58
"644",2021-12-10,70
"645",2021-12-11,57
"646",2021-12-12,48
"647",2021-12-13,73
"648",2021-12-14,99
"649",2021-12-15,78
"650",2021-12-16,92
"651",2021-12-17,81
"652",2021-12-18,56
"653",2021-12-19,48
"654",2021-12-20,73
"655",2021-12-21,90
"656",2021-12-22,102
"657",2021-12-23,133
"658",2021-12-24,103
"659",2021-12-25,104
"660",2021-12-26,107
"661",2021-12-27,233
"662",2021-12-28,275
"663",2021-12-29,284
"664",2021-12-30,1029
"665",2021-12-31,911
"666",2022-01-01,321
"667",2022-01-02,587
"668",2022-01-03,590
"669",2022-01-04,937
"670",2022-01-05,974
"671",2022-01-06,1239
"672",2022-01-07,1664
"673",2022-01-08,1349
"674",2022-01-09,1206
"675",2022-01-10,3079
"676",2022-01-11,2558
"677",2022-01-12,4039
"678",2022-01-13,3394
"679",2022-01-14,4178
"680",2022-01-15,3104
"681",2022-01-16,3877
"682",2022-01-17,3220
"683",2022-01-18,5439
"684",2022-01-19,6785
"685",2022-01-20,6801
"686",2022-01-21,5367
"687",2022-01-22,3996
"688",2022-01-23,4340
"689",2022-01-24,5415
"690",2022-01-25,5878
"691",2022-01-26,5947
"692",2022-01-27,5757
"693",2022-01-28,5485
"694",2022-01-29,5107
"695",2022-01-30,6349
"696",2022-01-31,6867
"697",2022-02-01,5663
"698",2022-02-02,5120
"699",2022-02-03,3746
"700",2022-02-04,3652
"701",2022-02-05,3193
"702",2022-02-06,2946
"703",2022-02-07,2267
"704",2022-02-08,2687
"705",2022-02-09,3021
"706",2022-02-10,2915
"707",2022-02-11,1906
"708",2022-02-12,1880
"709",2022-02-13,1894
"710",2022-02-14,1886
"711",2022-02-15,2227
"712",2022-02-16,2163
"713",2022-02-17,1731
"714",2022-02-18,1295
"715",2022-02-19,810
"716",2022-02-20,814
"717",2022-02-21,931
"718",2022-02-22,705
"719",2022-02-23,928
"720",2022-02-24,927
"721",2022-02-25,736
"722",2022-02-26,739
"723",2022-02-27,769
"724",2022-02-28,447
"725",2022-03-01,418
"726",2022-03-02,390
"727",2022-03-03,411
"728",2022-03-04,361
"729",2022-03-05,279
"730",2022-03-06,263
"731",2022-03-07,322
"732",2022-03-08,410
"733",2022-03-09,411
"734",2022-03-10,368
"735",2022-03-11,272
"736",2022-03-12,113
"737",2022-03-13,115
"738",2022-03-14,174
"739",2022-03-15,233
"740",2022-03-16,216
"741",2022-03-17,135
"742",2022-03-18,215
"743",2022-03-19,126
"744",2022-03-20,132
"745",2022-03-21,170
"746",2022-03-22,165
"747",2022-03-23,113
"748",2022-03-24,138
"749",2022-03-25,90
"750",2022-03-26,74
"751",2022-03-27,69
"752",2022-03-28,99
"753",2022-03-29,134
"754",2022-03-30,110
"755",2022-03-31,64
"756",2022-04-01,61
"757",2022-04-02,33
"758",2022-04-03,17
"759",2022-04-04,25
"760",2022-04-05,40
"761",2022-04-06,35
"762",2022-04-07,37
"763",2022-04-08,39
"764",2022-04-09,46
"765",2022-04-10,22
"766",2022-04-11,21
"767",2022-04-12,16
"768",2022-04-13,37
"769",2022-04-14,28
"770",2022-04-15,7
"771",2022-04-16,10
"772",2022-04-17,12
"773",2022-04-18,31
"774",2022-04-19,47
"775",2022-04-20,34
"776",2022-04-21,27
"777",2022-04-22,34
"778",2022-04-23,20
"779",2022-04-24,21
"780",2022-04-25,39
"781",2022-04-26,33
"782",2022-04-27,22
"783",2022-04-28,20
"784",2022-04-29,31
"785",2022-04-30,21
"786",2022-05-01,5
"787",2022-05-02,22
"788",2022-05-03,19
"789",2022-05-04,18
"790",2022-05-05,18
"791",2022-05-06,33
"792",2022-05-07,28
"793",2022-05-08,20
"794",2022-05-09,53
"795",2022-05-10,61
"796",2022-05-11,80
"797",2022-05-12,44
"798",2022-05-13,35
"799",2022-05-14,31
"800",2022-05-15,18
"801",2022-05-16,42
"802",2022-05-17,50
"803",2022-05-18,74
"804",2022-05-19,86
"805",2022-05-20,71
"806",2022-05-21,26
"807",2022-05-22,56
"808",2022-05-23,76
"809",2022-05-24,90
"810",2022-05-25,123
"811",2022-05-26,120
"812",2022-05-27,100
"813",2022-05-28,67
"814",2022-05-29,61
"815",2022-05-30,95
"816",2022-05-31,120
"817",2022-06-01,126
"818",2022-06-02,130
"819",2022-06-03,160
"820",2022-06-04,84
"821",2022-06-05,178
"822",2022-06-06,218
"823",2022-06-07,386
"824",2022-06-08,458
"825",2022-06-09,486
"826",2022-06-10,558
"827",2022-06-11,414
"828",2022-06-12,227
"829",2022-06-13,229
"830",2022-06-14,282
"831",2022-06-15,332
"832",2022-06-16,366
"833",2022-06-17,369
"834",2022-06-18,299
"835",2022-06-19,305
"836",2022-06-20,551
"837",2022-06-21,870
"838",2022-06-22,977
"839",2022-06-23,940
"840",2022-06-24,872
"841",2022-06-25,781
"842",2022-06-26,877
"843",2022-06-27,1285
"844",2022-06-28,1591
"845",2022-06-29,1940
"846",2022-06-30,2474
"847",2022-07-01,2190
"848",2022-07-02,1295
"849",2022-07-03,2172
"850",2022-07-04,1510
"851",2022-07-05,2143
"852",2022-07-06,2480
"853",2022-07-07,2615
"854",2022-07-08,2472
"855",2022-07-09,1599
"856",2022-07-10,1300
"857",2022-07-11,2143
"858",2022-07-12,1481
"859",2022-07-13,2095
"860",2022-07-14,1769
"861",2022-07-15,1999
"862",2022-07-16,1453
"863",2022-07-17,1127
"864",2022-07-18,702
"865",2022-07-19,755
"866",2022-07-20,891
"867",2022-07-21,859
"868",2022-07-22,790
"869",2022-07-23,925
"870",2022-07-24,791
"871",2022-07-25,555
"872",2022-07-26,699
"873",2022-07-27,662
"874",2022-07-28,400
"875",2022-07-29,360
"876",2022-07-30,314
"877",2022-07-31,231
"878",2022-08-01,267
"879",2022-08-02,280
"880",2022-08-03,341
"881",2022-08-04,372
"882",2022-08-05,318
"883",2022-08-06,208
"884",2022-08-07,206
"885",2022-08-08,161
"886",2022-08-09,167
"887",2022-08-10,242
"888",2022-08-11,233
"889",2022-08-12,232
"890",2022-08-13,192
"891",2022-08-14,130
"892",2022-08-15,73
"893",2022-08-16,85
"894",2022-08-17,91
"895",2022-08-18,65
"896",2022-08-19,276
"897",2022-08-20,102
"898",2022-08-21,43
"899",2022-08-22,32
"900",2022-08-23,83
"901",2022-08-24,49
"902",2022-08-25,93
"903",2022-08-26,74
"904",2022-08-27,33
"905",2022-08-28,36
"906",2022-08-29,24
"907",2022-08-30,99
"908",2022-08-31,75
"909",2022-09-01,151
"910",2022-09-02,68
"911",2022-09-03,106
"912",2022-09-04,69
"913",2022-09-05,144
"914",2022-09-06,123
"915",2022-09-07,96
"916",2022-09-08,123
"917",2022-09-09,126
