"","Fecha","Fallecido_diario"
"1",2020-03-07,1
"2",2020-03-08,3
"3",2020-03-09,32
"4",2020-03-10,23
"5",2020-03-11,8
"6",2020-03-12,15
"7",2020-03-13,0
"8",2020-03-14,0
"9",2020-03-15,0
"10",2020-03-16,0
"11",2020-03-17,0
"12",2020-03-18,0
"13",2020-03-19,0
"14",2020-03-20,1
"15",2020-03-21,0
"16",2020-03-22,0
"17",2020-03-23,1
"18",2020-03-24,1
"19",2020-03-25,0
"20",2020-03-26,0
"21",2020-03-27,0
"22",2020-03-28,0
"23",2020-03-29,0
"24",2020-03-30,0
"25",2020-03-31,0
"26",2020-04-01,0
"27",2020-04-02,0
"28",2020-04-03,0
"29",2020-04-04,1
"30",2020-04-05,0
"31",2020-04-06,0
"32",2020-04-07,0
"33",2020-04-08,4
"34",2020-04-09,19
"35",2020-04-10,23
"36",2020-04-11,9
"37",2020-04-12,13
"38",2020-04-13,0
"39",2020-04-14,1
"40",2020-04-15,0
"41",2020-04-16,0
"42",2020-04-17,0
"43",2020-04-18,0
"44",2020-04-19,0
"45",2020-04-20,0
"46",2020-04-21,1
"47",2020-04-22,0
"48",2020-04-23,0
"49",2020-04-24,0
"50",2020-04-25,0
"51",2020-04-26,0
"52",2020-04-27,0
"53",2020-04-28,1
"54",2020-04-29,0
"55",2020-04-30,0
"56",2020-05-01,0
"57",2020-05-02,0
"58",2020-05-03,0
"59",2020-05-04,1
"60",2020-05-05,0
"61",2020-05-06,0
"62",2020-05-07,0
"63",2020-05-08,2
"64",2020-05-09,18
"65",2020-05-10,12
"66",2020-05-11,9
"67",2020-05-12,17
"68",2020-05-13,0
"69",2020-05-14,0
"70",2020-05-15,0
"71",2020-05-16,0
"72",2020-05-17,0
"73",2020-05-18,0
"74",2020-05-19,0
"75",2020-05-20,0
"76",2020-05-21,0
"77",2020-05-22,0
"78",2020-05-23,0
"79",2020-05-24,0
"80",2020-05-25,0
"81",2020-05-26,0
"82",2020-05-27,0
"83",2020-05-28,0
"84",2020-05-29,0
"85",2020-05-30,0
"86",2020-05-31,0
"87",2020-06-01,0
"88",2020-06-02,0
"89",2020-06-03,0
"90",2020-06-04,0
